omrade	K_mean	K_median	K_sd
Forollhogna	3587.33957149166	3508.84920455817	277.756106289415
Hardangervidda	19502.793490567	19344.6010363659	798.229416762975
Knutsho	2637.78572579467	2614.84198613514	115.010400728883
LardalArdal	454.66845569371	457.185759697491	21.7891117452118
Nordfjella	4202.51183712715	4185.00652715944	109.308653700649
RondaneN	2745.59642139578	2744.40464521232	72.452713938785
RondaneS	4404.29074003616	4385.40372751658	150.205396541511
SnohettaE	3917.8143911482	3864.31030673217	181.555080559807
SnohettaW	1214.90598377878	1208.4139723016	44.8375789616377
Solnkletten	1847.29248384023	1811.67876734714	221.4331949315
