row	col	year	area	mean	sd	q1	q2	kv25	kv75
1	1	1991	Forollhogna	2316.776	122.510476959517	2135	2623	2233	2374
2	1	1992	Forollhogna	2090.338	82.1020602263711	1967	2284	2035	2131
3	1	1993	Forollhogna	1972.8447	62.6858840402917	1869	2113.025	1929	2010
4	1	1994	Forollhogna	1911.3835	58.2816074335485	1813	2037	1870	1947
5	1	1995	Forollhogna	2017.6738	58.7751479748114	1915	2144	1977	2054
6	1	1996	Forollhogna	2062.7515	56.7062591584155	1965	2186	2023	2098
7	1	1997	Forollhogna	2191.2233	52.1258188632045	2102	2306	2155	2222
8	1	1998	Forollhogna	2221.57205	41.6440538391558	2153	2314	2193	2246
9	1	1999	Forollhogna	2117.72865	41.83983446149	2044	2209	2089	2143
10	1	2000	Forollhogna	1845.77455	96.2451187252705	1710	2047	1770	1917
11	1	2001	Forollhogna	1697.84515	68.8439267168121	1611	1888.025	1651	1726
12	1	2002	Forollhogna	1513.69425	48.7531671843279	1447	1636	1481	1536
13	1	2003	Forollhogna	1528.639	63.0977435829702	1421	1660	1483	1568
14	1	2004	Forollhogna	1557.69775	63.6797577768244	1451	1696	1512	1598
15	1	2005	Forollhogna	1791.42185	65.9961632767835	1690	1948	1744	1827
16	1	2006	Forollhogna	2099.4599	67.6935950672636	2000	2268	2051	2134
17	1	2007	Forollhogna	2129.44015	74.1727598104075	2022	2313	2080	2164
18	1	2008	Forollhogna	2009.5914	65.8550764223574	1914	2173	1963	2043
19	1	2009	Forollhogna	1832.68425	54.5989524095262	1756	1968	1793	1861
20	1	2010	Forollhogna	1761.95405	55.9164982034468	1678	1895	1721	1793
21	1	2011	Forollhogna	1791.01335	67.7067720551394	1685	1950	1743	1829
22	1	2012	Forollhogna	1844.5546	53.364623187936	1768	1974	1806	1872
23	1	2013	Forollhogna	1865.1868	55.1272215542178	1775	1965	1819	1909
24	1	2014	Forollhogna	1689.09325	71.2614304095189	1580	1853	1636	1732
25	1	2015	Forollhogna	1628.08365	56.8675746689617	1545	1763	1587	1659
26	1	2016	Forollhogna	1508.0828	54.3227152490521	1436	1644	1469	1536
27	1	2017	Forollhogna	1203.0108	13.0649997348222	1177	1228	1194	1212
28	1	2018	Forollhogna	1413.0248	28.8195543562989	1348	1464	1396	1433
29	1	2019	Forollhogna	1608.1406	41.1289595200944	1533	1692	1579	1636
