"year","area","htot"
1991,"Snohetta",351
1992,"Snohetta",415
1993,"Snohetta",383
1994,"Snohetta",529
1995,"Snohetta",517
1996,"Snohetta",557
1997,"Snohetta",519
1998,"Snohetta",511
1999,"Snohetta",571
2000,"Snohetta",533
2001,"Snohetta",521
2002,"Snohetta",509
2003,"Snohetta",190
2004,"Snohetta",372
2005,"Snohetta",569
2006,"Snohetta",551
2007,"Snohetta",342
2008,"Snohetta",393
2009,"Snohetta",383
2010,"Snohetta",499
2011,"Snohetta",414
2012,"Snohetta",429
2013,"Snohetta",692
2014,"Snohetta",852
2015,"Snohetta",774
2016,"Snohetta",647
2017,"Snohetta",620
2018,"Snohetta",606
2019,"Snohetta",589
2020,"Snohetta",718
2021,"Snohetta",601
2022,"Snohetta",376
2023,"Snohetta",227
2024,"Snohetta",188
1991,"Knutsho",301
1992,"Knutsho",214
1993,"Knutsho",246
1994,"Knutsho",352
1995,"Knutsho",321
1996,"Knutsho",428
1997,"Knutsho",436
1998,"Knutsho",377
1999,"Knutsho",572
2000,"Knutsho",475
2001,"Knutsho",247
2002,"Knutsho",402
2003,"Knutsho",327
2004,"Knutsho",238
2005,"Knutsho",220
2006,"Knutsho",343
2007,"Knutsho",223
2008,"Knutsho",348
2009,"Knutsho",447
2010,"Knutsho",288
2011,"Knutsho",300
2012,"Knutsho",374
2013,"Knutsho",374
2014,"Knutsho",350
2015,"Knutsho",395
2016,"Knutsho",253
2017,"Knutsho",190
2018,"Knutsho",167
2019,"Knutsho",188
2020,"Knutsho",313
2021,"Knutsho",203
2022,"Knutsho",202
2023,"Knutsho",222
2024,"Knutsho",189
1991,"Forollhogna",736
1992,"Forollhogna",805
1993,"Forollhogna",692
1994,"Forollhogna",628
1995,"Forollhogna",546
1996,"Forollhogna",599
1997,"Forollhogna",550
1998,"Forollhogna",679
1999,"Forollhogna",745
2000,"Forollhogna",731
2001,"Forollhogna",710
2002,"Forollhogna",694
2003,"Forollhogna",362
2004,"Forollhogna",363
2005,"Forollhogna",264
2006,"Forollhogna",272
2007,"Forollhogna",652
2008,"Forollhogna",796
2009,"Forollhogna",766
2010,"Forollhogna",589
2011,"Forollhogna",535
2012,"Forollhogna",453
2013,"Forollhogna",550
2014,"Forollhogna",629
2015,"Forollhogna",582
2016,"Forollhogna",598
2017,"Forollhogna",481
2018,"Forollhogna",183
2019,"Forollhogna",229
2020,"Forollhogna",294
2021,"Forollhogna",561
2022,"Forollhogna",419
2023,"Forollhogna",401
2024,"Forollhogna",356
1991,"RondaneN",637
1992,"RondaneN",450
1993,"RondaneN",300
1994,"RondaneN",362
1995,"RondaneN",226
1996,"RondaneN",197
1997,"RondaneN",139
1998,"RondaneN",142
1999,"RondaneN",329
2000,"RondaneN",239
2001,"RondaneN",270
2002,"RondaneN",342
2003,"RondaneN",315
2004,"RondaneN",366
2005,"RondaneN",429
2006,"RondaneN",320
2007,"RondaneN",315
2008,"RondaneN",328
2009,"RondaneN",331
2010,"RondaneN",272
2011,"RondaneN",136
2012,"RondaneN",96
2013,"RondaneN",56
2014,"RondaneN",137
2015,"RondaneN",133
2016,"RondaneN",229
2017,"RondaneN",259
2018,"RondaneN",202
2019,"RondaneN",191
2020,"RondaneN",205
2021,"RondaneN",172
2022,"RondaneN",172
2023,"RondaneN",122
2024,"RondaneN",185
1991,"RondaneS",617
1992,"RondaneS",698
1993,"RondaneS",502
1994,"RondaneS",461
1995,"RondaneS",567
1996,"RondaneS",590
1997,"RondaneS",599
1998,"RondaneS",544
1999,"RondaneS",495
2000,"RondaneS",436
2001,"RondaneS",483
2002,"RondaneS",601
2003,"RondaneS",512
2004,"RondaneS",562
2005,"RondaneS",551
2006,"RondaneS",529
2007,"RondaneS",572
2008,"RondaneS",541
2009,"RondaneS",467
2010,"RondaneS",322
2011,"RondaneS",394
2012,"RondaneS",467
2013,"RondaneS",517
2014,"RondaneS",382
2015,"RondaneS",324
2016,"RondaneS",134
2017,"RondaneS",150
2018,"RondaneS",174
2019,"RondaneS",248
2020,"RondaneS",237
2021,"RondaneS",198
2022,"RondaneS",235
2023,"RondaneS",268
2024,"RondaneS",327
1991,"Hardangervidda",2843
1992,"Hardangervidda",751
1993,"Hardangervidda",1748
1994,"Hardangervidda",1612
1995,"Hardangervidda",2505
1996,"Hardangervidda",3622
1997,"Hardangervidda",3446
1998,"Hardangervidda",4420
1999,"Hardangervidda",3550
2000,"Hardangervidda",2683
2001,"Hardangervidda",2144
2002,"Hardangervidda",1417
2003,"Hardangervidda",133
2004,"Hardangervidda",18
2005,"Hardangervidda",864
2006,"Hardangervidda",1038
2007,"Hardangervidda",694
2008,"Hardangervidda",658
2009,"Hardangervidda",684
2010,"Hardangervidda",957
2011,"Hardangervidda",1388
2012,"Hardangervidda",1190
2013,"Hardangervidda",2087
2014,"Hardangervidda",2575
2015,"Hardangervidda",1682
2016,"Hardangervidda",1846
2017,"Hardangervidda",1394
2018,"Hardangervidda",700
2019,"Hardangervidda",1270
2020,"Hardangervidda",1440
2021,"Hardangervidda",1974
2022,"Hardangervidda",1961
2023,"Hardangervidda",416
2024,"Hardangervidda",403
1991,"Solnkletten",239
1992,"Solnkletten",262
1993,"Solnkletten",217
1994,"Solnkletten",179
1995,"Solnkletten",69
1996,"Solnkletten",46
1997,"Solnkletten",36
1998,"Solnkletten",62
1999,"Solnkletten",101
2000,"Solnkletten",113
2001,"Solnkletten",45
2002,"Solnkletten",52
2003,"Solnkletten",44
2004,"Solnkletten",86
2005,"Solnkletten",104
2006,"Solnkletten",160
2007,"Solnkletten",308
2008,"Solnkletten",258
2009,"Solnkletten",263
2010,"Solnkletten",178
2011,"Solnkletten",214
2012,"Solnkletten",248
2013,"Solnkletten",246
2014,"Solnkletten",250
2015,"Solnkletten",278
2016,"Solnkletten",229
2017,"Solnkletten",237
2018,"Solnkletten",168
2019,"Solnkletten",182
2020,"Solnkletten",75
2021,"Solnkletten",120
2022,"Solnkletten",123
2023,"Solnkletten",137
2024,"Solnkletten",200
1991,"Nordfjella",556
1992,"Nordfjella",231
1993,"Nordfjella",268
1994,"Nordfjella",546
1995,"Nordfjella",762
1996,"Nordfjella",813
1997,"Nordfjella",784
1998,"Nordfjella",646
1999,"Nordfjella",289
2000,"Nordfjella",385
2001,"Nordfjella",531
2002,"Nordfjella",415
2003,"Nordfjella",408
2004,"Nordfjella",466
2005,"Nordfjella",286
2006,"Nordfjella",390
2007,"Nordfjella",253
2008,"Nordfjella",465
2009,"Nordfjella",355
2010,"Nordfjella",680
2011,"Nordfjella",525
2012,"Nordfjella",453
2013,"Nordfjella",675
2014,"Nordfjella",728
2015,"Nordfjella",579
2016,"Nordfjella",379
2017,"Nordfjella",702
2018,"Nordfjella",72
2019,"Nordfjella",119
2020,"Nordfjella",70
2021,"Nordfjella",37
2022,"Nordfjella",64
2023,"Nordfjella",44
2024,"Nordfjella",40
1991,"SnohettaW",30
1992,"SnohettaW",30
